scenario           loop  run_med   run_max   per_p50   per_p99   per_max    jitter
-------------------------------------------------------------------------------------
idle_out_1          492     2018      3297     10092     10951     11391      1299
idle_out_2          493     2017      3270     10091     10935     11362      1271
idle_out_3          493     2017      3339     10090     10876     11427      1337
idle_in_1           497     1984      2020     10054     10089     10117        63
idle_in_2           497     1985      2019     10053     10086     10102        49
idle_in_3           497     1984      2016     10052     10087     10099        47
noise_out_1         406     2669     12010     11997     16980     20103      8106
noise_out_2         403     2663      8703     11997     16763     24045     12048
noise_out_3         397     2662      8639     11997     15997     21972      9975
noise_in_1          497     1983      2025     10051     10076     10085        34
noise_in_2          497     1983      2035     10051     10075     10101        50
noise_in_3          497     1983      2040     10051     10077     10116        65
