scenario          loop  run_med   run_max   per_p50   per_p99   per_max    jitter
-------------------------------------------------------------------------------------
idle_out_1         479     2324      4495     10171     11916     12589      2418
idle_out_2         482     2267      3377     10159     11272     11579      1420
idle_out_3         483     2245      3669     10153     11343     12284      2131
idle_in_1          495     2013      2172     10082     10122     10248       166
idle_in_2          495     2012      2183     10081     10115     10261       180
idle_in_3          495     2013      2057     10082     10117     10133        51
noise_out_1        345     3899     13347     14085     21225     23977      9892
noise_out_2        342     4004     11671     14567     20981     22984      8417
noise_out_3        362     4230     12560     13459     20633     21223      7764
noise_in_1         495     2008      2136     10074     10125     10204       130
noise_in_2         495     2011      2177     10074     10208     10248       174
noise_in_3         495     2009      2188     10074     10177     10260       186
