run_id,block,trace_level,processor_type,sampler_type,sampler_ratio,exporter_type,n_lo,rep,duration_s,mhz_med,aperf_mhz,tctl_pre_c,tctl_post_c,hi_loops,run_dir,exit_code
1,block1,0,0,0,0.0,0,0,1,20,2295,NA,51.4,51.0,2001,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_e0_n0/run_01,0
2,block1,1,0,0,0.0,0,0,1,20,2295,NA,51.0,50.8,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t1_p0_s0_r0.0_e0_n0/run_01,0
3,block1,2,0,0,0.0,0,0,1,20,2295,NA,50.8,50.6,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t2_p0_s0_r0.0_e0_n0/run_01,0
4,block1,3,0,0,0.0,0,0,1,20,2295,NA,50.6,50.5,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t3_p0_s0_r0.0_e0_n0/run_01,0
5,block1,0,0,0,0.0,0,0,2,20,2295,NA,50.5,50.5,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_e0_n0/run_02,0
6,block1,1,0,0,0.0,0,0,2,20,2295,NA,50.5,50.5,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t1_p0_s0_r0.0_e0_n0/run_02,0
7,block1,2,0,0,0.0,0,0,2,20,2295,NA,50.5,50.5,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t2_p0_s0_r0.0_e0_n0/run_02,0
8,block1,3,0,0,0.0,0,0,2,20,2295,NA,50.5,50.5,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t3_p0_s0_r0.0_e0_n0/run_02,0
9,block1,0,0,0,0.0,0,0,3,20,2295,NA,50.5,50.5,2001,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_e0_n0/run_03,0
10,block1,1,0,0,0.0,0,0,3,20,2295,NA,50.5,50.5,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t1_p0_s0_r0.0_e0_n0/run_03,0
11,block1,2,0,0,0.0,0,0,3,20,2295,NA,50.5,50.5,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t2_p0_s0_r0.0_e0_n0/run_03,0
12,block1,3,0,0,0.0,0,0,3,20,2295,NA,50.5,50.5,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t3_p0_s0_r0.0_e0_n0/run_03,0
13,block1,0,0,0,0.0,0,0,4,20,2295,NA,50.5,50.2,2001,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_e0_n0/run_04,0
14,block1,1,0,0,0.0,0,0,4,20,2295,NA,50.2,50.2,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t1_p0_s0_r0.0_e0_n0/run_04,0
15,block1,2,0,0,0.0,0,0,4,20,2295,NA,50.2,50.2,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t2_p0_s0_r0.0_e0_n0/run_04,0
16,block1,3,0,0,0.0,0,0,4,20,2295,NA,50.2,50.2,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t3_p0_s0_r0.0_e0_n0/run_04,0
17,block1,0,0,0,0.0,0,0,5,20,2295,NA,50.2,50.2,2001,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_e0_n0/run_05,0
18,block1,1,0,0,0.0,0,0,5,20,2295,NA,50.2,50.2,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t1_p0_s0_r0.0_e0_n0/run_05,0
19,block1,2,0,0,0.0,0,0,5,20,2295,NA,50.2,50.2,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t2_p0_s0_r0.0_e0_n0/run_05,0
20,block1,3,0,0,0.0,0,0,5,20,2295,NA,50.2,50.2,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t3_p0_s0_r0.0_e0_n0/run_05,0
21,block1,0,0,0,0.0,0,0,6,20,2295,NA,50.2,50.2,2001,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_e0_n0/run_06,0
22,block1,1,0,0,0.0,0,0,6,20,2295,NA,50.2,50.2,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t1_p0_s0_r0.0_e0_n0/run_06,0
23,block1,2,0,0,0.0,0,0,6,20,2295,NA,50.2,50.2,2000,/home/benny/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t2_p0_s0_r0.0_e0_n0/run_06,0
