run_id,block,trace_level,processor_type,sampler_type,sampler_ratio,n_lo,rep,run_dir,exporter,hi_n_iters,hi_deadline_miss_count,hi_deadline_miss_ratio,hi_slack_median_us,hi_slack_min_us,hi_period_median_us,hi_period_jitter_std_us,hi_period_iqr_us,hi_wu_latency_median_us,hi_wu_latency_p99_us,hi_wu_latency_max_us,hi_max_duration_us,hi_mean_duration_us,lo_n_iters,lo_deadline_miss_count,lo_deadline_miss_ratio,lo_slack_median_us,lo_slack_min_us,lo_period_median_us,lo_period_jitter_std_us,lo_period_iqr_us,lo_wu_latency_median_us,lo_wu_latency_p99_us,lo_wu_latency_max_us,lo_max_duration_us,lo_mean_duration_us,spans_exported_total,hi_spans_exported,lo_spans_exported
1,block1,0,0,0,0.0,0,1,/home/fabio/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_n0/run_01,zipkin,1999,0,0.0,7940,7910,9985,33.78,82.0,41,54.0,58,2038,1991.1,,,,,,,,,,,,,,0,0,0
2,block1,0,0,0,0.0,0,2,/home/fabio/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_n0/run_02,zipkin,1999,0,0.0,8010,7975,9996,2.93,0.0,7,11.0,20,2008,1979.0,,,,,,,,,,,,,,0,0,0
3,block1,0,0,0,0.0,0,3,/home/fabio/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_n0/run_03,zipkin,1999,0,0.0,7941,7911,9983,15.22,2.0,27,50.0,59,2041,2007.1,,,,,,,,,,,,,,0,0,0
4,block1,0,0,0,0.0,0,4,/home/fabio/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_n0/run_04,zipkin,1999,0,0.0,7935,7899,9984,18.51,5.0,27,51.0,61,2046,2008.5,,,,,,,,,,,,,,0,0,0
5,block1,0,0,0,0.0,0,5,/home/fabio/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_n0/run_05,zipkin,1999,0,0.0,8010,7965,9996,2.69,0.0,7,9.0,19,2009,1979.0,,,,,,,,,,,,,,0,0,0
6,block1,0,0,0,0.0,0,6,/home/fabio/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_n0/run_06,zipkin,1999,0,0.0,7934,7906,9983,11.95,1.0,27,37.0,59,2046,2017.6,,,,,,,,,,,,,,0,0,0
7,block1,0,0,0,0.0,0,7,/home/fabio/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_n0/run_07,zipkin,1999,0,0.0,8010,7939,9996,3.29,0.0,7,11.0,46,1992,1979.0,,,,,,,,,,,,,,0,0,0
8,block1,0,0,0,0.0,0,8,/home/fabio/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_n0/run_08,zipkin,1999,0,0.0,8010,7972,9996,2.62,0.0,7,8.0,13,2009,1979.1,,,,,,,,,,,,,,0,0,0
9,block1,0,0,0,0.0,0,9,/home/fabio/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_n0/run_09,zipkin,1999,0,0.0,7941,7913,9983,15.95,4.0,28,50.0,58,2028,2007.9,,,,,,,,,,,,,,0,0,0
10,block1,0,0,0,0.0,0,10,/home/fabio/Scrivania/OTel-capabilities-for-mixed-criticality-workloads/2-DoE/block1/t0_p0_s0_r0.0_n0/run_10,zipkin,1999,0,0.0,8010,7967,9996,2.57,0.0,7,9.0,14,2011,1979.3,,,,,,,,,,,,,,0,0,0
